#OTU ID,LTEE.5..1,LTEE.5..2,LTEE.5..8,LTEE2.5.13,LTEE.5..4,LTEE.5..5,LTEE5.11,LTEE.5..6,LTEE.5..7,LTEE5.12,LTEE.5..3,LTEE5.9,LTEE.6..1,LTEE.6..2,LTEE.6..8,LTEE2.6.13,LTEE.6..4,LTEE.6..5,LTEE.6..6,LTEE.6..7,LTEE6.12,LTEE.6..3,LTEE6.9,LTEE7.2,LTEE.7..1,LTEE7.4,LTEE7.5,LTEE.7..6,LTEE7.3,LTEE.8..1,LTEE.8..2,LTEE.8..8,LTEE2.8.13,LTEE.8..4,LTEE.8..5,LTEE8.11,LTEE.8..6,LTEE.8..7,LTEE8.12,LTEE.8..3,LTEE8.9,LTEE.9..1,LTEE.9..2,LTEE.9..8,LTEE2.9.13,LTEE.9..4,LTEE.9..5,LTEE9.11,LTEE.9..7,LTEE2.9.12,LTEE.9..3,LTEE9.9,LTEE.13..1,LTEE.13..2,LTEE.13..8,LTEE.13..4,LTEE.13..5,LTEE13.11,LTEE.13..6,LTEE.13..7,LTEE.13..3,LTEE13.9,LTEE.16..1,LTEE.16..2,LTEE.16..8,LTEE.16..4,LTEE.16..5,LTEE16.11,LTEE.16..6,LTEE.16..7,LTEE2.16.12,LTEE.16..3,LTEE16.9,LTEE17.8,LTEE2.17.13,LTEE17.4,LTEE17.5,LTEE2.17.11,LTEE17.6,LTEE17.7,LTEE2.17.12,LTEE17.3,LTEE2.17.9,taxonomy
denovo16247,2338,52,573,338,174,1242,614,80,225,220,19,495,2777,109,500,0,832,1041,487,490,581,139,27,29,885,111,67,706,7,2680,56,20,63,65,113,1017,366,131,34,50,30,143,11,203,80,136,292,251,296,115,25,41,1130,71,145,1176,109,539,502,124,3,174,6994,118,44,191,229,301,170,366,58,24,45,221,74,1211,948,819,106,96,235,21,101,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Methylibium; s__
denovo14719,0,7,0,0,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
denovo45023,0,0,0,0,0,0,0,0,0,0,0,0,197,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,26,0,0,0,16,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__perfringens
221589,0,0,8,2,0,0,20,0,13,5,0,10,1,0,9,6,0,28,2,18,23,0,24,1,0,0,0,6,0,0,0,7,2,0,1,8,5,1,0,0,24,1,0,25,1,0,0,26,18,0,0,10,0,0,2,0,0,32,46,1,0,10,0,0,7,0,0,29,0,7,2,0,3,9,2,0,0,4,1,16,2,0,5,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__; s__
denovo42557,3,0,1,1,0,0,0,0,0,8,0,0,0,0,1,0,0,1,1,7,9,0,0,1,2,1,1,49,0,6,0,3,1,3,1,2,76,7,0,0,0,1,0,4,0,0,1,1,0,0,0,0,0,0,3,1,0,5,17,9,0,0,31,0,13,0,0,0,4,1,0,0,0,3,0,43,1,0,1,12,0,0,0,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
4347599,4,0,10,0,14,48,0,2,15,0,7,11,2,0,13,0,30,25,2,7,0,7,10,0,0,23,2,16,0,0,0,4,0,4,3,0,12,0,0,18,18,0,0,30,0,11,35,0,18,0,7,16,0,0,8,721,4,0,61,0,10,9,1,0,16,17,12,0,7,9,0,2,1,13,0,328,11,0,6,34,0,4,9,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Vibrionales; f__Vibrionaceae; g__Vibrio; s__metschnikovii
2912622,19,0,0,0,0,2,0,9,12,9,0,0,11,0,3,35,1,0,16,0,19,0,0,1,33,0,4,16,0,10,0,6,2,0,10,20,13,10,0,0,0,3,0,0,2,0,1,6,0,6,0,0,23,4,8,0,12,17,6,17,4,0,93,1,0,0,3,1,1,3,0,0,0,3,0,0,0,18,0,0,2,0,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae
160679,0,2,15,0,0,0,20,0,0,0,25,0,0,1,5,0,0,0,0,0,0,18,0,0,0,0,0,0,2,0,1,1,0,0,0,23,0,0,0,45,0,0,0,24,0,0,0,40,0,0,32,0,0,3,4,0,0,0,0,0,37,0,0,2,1,0,0,20,0,0,0,14,0,0,0,0,0,9,0,0,0,6,0,k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__
325027,0,0,2,1,2,17,1,0,0,0,1,2,3,0,0,0,8,2,1,2,0,4,3,0,0,1,0,6,0,0,0,1,2,1,1,0,1,1,0,5,8,0,0,4,1,5,15,0,3,0,2,2,0,0,3,189,0,0,14,0,4,3,0,0,3,2,4,0,2,3,4,1,2,2,0,40,5,1,2,3,0,1,2,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__
denovo29889,0,28,38,9,45,0,9,0,55,58,7,29,0,51,76,2,30,2,2,31,17,13,54,10,0,39,67,0,26,0,11,125,13,0,54,30,2,35,0,16,6,0,11,68,7,2,8,22,75,0,38,62,0,12,51,0,17,5,7,53,1,26,0,2,64,0,54,17,8,58,5,46,40,68,13,0,20,4,9,43,19,19,19,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
814442,0,0,22,7,0,0,37,0,24,16,1,37,0,0,18,27,0,0,0,51,41,0,42,0,0,2,1,0,0,0,0,10,4,0,0,21,4,5,0,0,55,0,1,14,1,0,2,45,24,0,0,33,0,0,13,0,0,46,2,11,0,37,0,0,38,0,0,29,0,24,0,0,4,24,3,0,1,5,0,40,6,0,2,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Citrobacter; s__
denovo50101,1,9,0,0,2,0,0,30,4,10,1,0,0,2,0,0,0,0,167,26,7,1,0,0,0,0,0,261,24,2,4,1,0,2,14,1,339,3,303,0,0,1,22,9,0,5,8,0,15,27,1,0,0,2,2,0,3,0,1,93,0,0,1,1,2,21,45,0,71,33,8,44,2,8,0,8,1,0,578,21,8,2,2,k__Bacteria; p__GN02; c__BD1-5; o__; f__; g__; s__
denovo16474,0,2,56,24,0,0,34,0,29,53,3,25,0,6,42,42,1,0,2,42,29,2,50,8,0,0,0,3,5,0,2,57,113,0,0,63,1,25,0,0,48,2,4,33,73,0,1,30,58,0,8,44,0,3,50,0,1,16,4,41,1,31,0,3,33,0,0,21,2,39,37,9,33,33,54,1,0,24,8,38,81,3,90,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Cellulomonadaceae; g__Cellulomonas; s__
635524,0,1,0,0,4,0,0,0,1,1,12,3,0,6,1,0,5,0,1,2,0,17,3,1,0,5,0,2,0,0,0,1,0,1,5,0,5,0,1,9,1,0,0,2,0,3,13,1,5,0,8,2,0,9,1,174,6,0,18,0,29,2,0,9,5,1,11,1,1,0,0,2,0,0,0,61,10,0,1,8,0,9,3,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__
denovo38171,299,225,75,70,27,19,2,68,72,46,3,40,123,107,43,1,64,17,81,5,10,13,64,58,294,10,67,66,122,321,42,18,10,10,64,77,29,57,23,6,0,228,32,24,16,71,20,24,18,27,46,61,329,66,136,3,37,2,68,213,0,82,85,1,23,13,5,3,42,29,30,42,151,31,11,9,56,25,20,24,6,2,55,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__
4370747,0,1,32,4,0,0,46,0,32,7,1,45,0,0,14,21,0,1,0,27,15,0,43,0,0,0,0,0,0,0,0,9,3,0,0,46,0,3,0,0,39,0,0,11,0,0,0,46,13,0,0,28,0,0,17,0,0,28,0,22,0,31,0,0,10,0,0,22,0,7,1,0,5,20,0,0,0,28,2,26,1,0,10,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__viridiflava
512114,0,0,0,0,0,0,0,0,0,0,0,0,759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
denovo31946,0,0,2,1,0,0,26,0,6,5,0,14,0,1,5,21,0,0,0,24,11,0,12,1,0,0,0,0,0,0,0,2,3,0,0,6,0,0,0,1,27,0,0,4,0,0,0,14,7,0,0,6,0,0,5,0,0,21,0,1,0,6,0,0,10,0,0,11,0,2,0,0,0,9,0,0,1,3,1,24,1,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__viridiflava
4364813,0,0,16,15,0,2,23,0,6,10,0,12,0,0,8,30,2,0,0,31,13,1,29,0,0,2,0,1,0,0,0,6,4,0,0,15,0,1,0,0,42,0,0,5,3,0,3,28,12,0,0,5,0,0,1,39,0,11,5,3,2,14,0,0,12,1,0,31,0,9,1,0,2,17,1,0,1,5,0,25,3,0,2,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
4386920,1,0,1,0,3,0,2,0,1,1,8,3,0,6,6,0,1,12,0,1,3,7,2,1,0,1,1,5,0,0,0,0,0,0,0,0,0,2,0,4,8,0,0,7,0,3,6,0,4,0,7,2,1,7,1,127,3,1,12,1,11,0,0,6,4,0,2,0,5,1,0,2,0,3,0,77,3,0,2,6,0,17,1,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
4449609,0,1,0,0,1,0,0,0,4,0,1,4,0,0,50,0,4,7,1,0,0,2,4,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,0,5,0,0,1,0,0,3,1,37,0,0,2,0,1,2,696,5,1,8,0,2,2,0,0,4,1,2,0,0,0,0,2,0,1,0,0,2,1,0,0,0,1,4,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
654212,9510,5527,2987,1446,652,3411,855,1214,3000,1877,155,1900,4733,2159,844,6,2501,3782,969,440,1208,885,2019,496,13029,621,1163,730,1163,5569,466,165,266,206,870,3628,586,1060,125,287,21,4241,343,726,103,2037,2742,3510,330,116,1699,2290,12370,3088,3301,1743,1777,1093,8013,5619,46,4706,2813,571,242,131,338,619,739,604,306,556,2074,840,145,4806,3386,3698,283,883,86,90,1108,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Methylophilales; f__Methylophilaceae
denovo67954,4,1,5,0,4,3,0,3,0,2,2,4,1,2,2,0,7,2,4,3,0,1,0,7,2,2,4,2,7,6,6,5,0,1,9,2,12,9,5,0,0,1,3,5,0,9,4,1,2,0,1,3,3,3,6,2,2,0,4,2,1,0,6,0,3,5,5,0,2,3,1,8,3,4,1,7,1,1,7,1,0,2,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Hydrogenophaga; s__
4468125,1,591,13,13,385,1,74,1,19,19,1198,7,3,597,14,49,1132,2840,36,21,24,1464,8,237,0,1089,145,48,168,2,228,14,15,0,180,27,10,7,28,3984,53,115,249,15,4,2,2356,41,27,0,616,27,1,1319,9,18,911,37,368,11,1409,10,2,1834,33,0,1252,45,456,15,2,253,5,17,3,2,1342,22,160,28,6,873,10,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardiaceae; g__Rhodococcus; s__
412392,158,20,62,72,45,77,0,41,18,43,5,37,130,56,124,1,114,29,217,27,17,13,4,17,62,13,13,221,8,329,35,8,19,31,47,74,121,59,36,5,0,20,13,61,27,60,16,6,41,45,4,12,67,7,38,3,11,4,22,34,1,18,209,3,7,91,48,8,59,66,19,18,15,38,44,15,106,30,29,17,52,0,39,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
denovo53733,0,0,0,0,0,0,0,0,0,0,0,0,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,111,0,0,0,39,4,0,0,47,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__PW3; s__
4369970,6,29,7,1,37,80,2,45,9,14,65,368,3,5,5,36,117,97,94,0,10,4,59,12,3,8,125,51,13,1,9,9,3,47,102,291,5,3,4,28,335,2,6,2,1,40,27,39,0,1,3,47,2,78,4,57,219,26,13,4,62,429,43,61,3,12,48,20,5,1,1,7,75,4,2,145,37,28,2,3,1,12,72,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__
668514,1,0,11,2,1,0,23,0,15,16,0,16,0,0,11,24,0,2,0,31,23,0,22,0,0,1,0,0,1,0,0,19,14,0,0,13,1,5,0,0,20,0,0,6,1,0,0,28,13,0,0,24,0,0,10,2,0,13,0,17,0,18,0,0,16,0,1,15,3,16,3,0,6,15,1,12,0,13,3,19,13,3,1,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
denovo73199,0,0,0,0,0,0,0,0,0,0,0,0,1050,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,26,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
3330580,0,7,11,7,5,0,45,0,16,15,37,29,0,14,15,31,3,0,0,36,25,23,16,1,0,2,2,0,2,0,1,10,5,0,1,19,0,4,1,35,40,0,1,7,2,0,17,46,21,0,16,30,0,18,4,0,9,48,0,12,33,16,0,19,16,0,4,29,0,10,0,8,3,25,2,2,8,13,0,28,4,20,2,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__
4311486,2,55,1,0,0,1,0,3,5,0,0,1,4,20,0,0,1,1,4,0,0,1,1,34,0,1,20,1,0,3,29,0,1,0,15,26,1,3,0,0,0,1,21,2,1,0,2,8,0,1,0,0,0,75,2,0,15,0,0,3,0,3,2,109,0,0,1,0,0,0,1,0,0,0,1,4,3,40,2,1,0,1,3,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
denovo25227,0,78,63,67,50,0,1,0,67,84,21,51,0,100,95,1,30,21,10,36,47,34,122,41,1,26,18,2,41,0,13,136,61,1,18,70,12,41,8,41,7,11,43,63,49,1,12,31,89,0,69,79,0,41,92,0,11,4,18,78,3,64,0,7,90,1,31,15,69,85,45,89,68,112,73,0,33,17,53,85,97,30,33,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
1932541,2,5,1,0,8,0,0,1,3,0,27,21,2,0,0,1,6,1,12,0,4,2,1,2,0,0,2,7,3,0,3,1,2,3,2,16,3,0,0,1,25,0,1,2,0,5,1,5,2,1,1,2,1,22,1,6,7,1,2,2,7,22,8,60,0,0,5,1,2,0,0,3,4,0,0,12,1,3,0,0,0,0,11,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
